Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Whole_Toronto_AV
2018,Agincourt/Malvern,1341,**,"1,105","1,316","1,569",1370
2018,Ajax/Pickering,1283,**,953,"1,248","1,397",1370
2018,Alderwood,1435,**,"1,169","1,462",**,1370
2018,Aurora,1298,**,"1,127","1,347",**,1370
2018,Banbury-Don Mills/York Mills,1286,**,"1,163","1,335","1,643",1370
2018,Bathurst Manor,1342,**,"1,216","1,346","1,567",1370
2018,Bay Street Corridor,2301,"1,615","2,013","3,114",**,1370
2018,Bayview Village,1666,"1,072","1,381","1,671",**,1370
2018,Bayview Woods-Steeles/Hillcrest Village,1580,**,"1,389","1,609","1,690",1370
2018,Bedford Park-Nortown,1277,947,"1,125","1,459","1,912",1370
2018,Beechborough-Greenbrook,1081,875,"1,022","1,137",**,1370
2018,Bendale,1217,"1,032","1,070","1,173","1,362",1370
2018,Birchcliffe-Cliffside,1301,943,"1,193","1,424",**,1370
2018,Black Creek,1284,"1,108","1,145","1,293","1,449",1370
2018,Bradford/West Gwillimbury/New Tecumseth,1127,951,977,"1,181","1,436",1370
2018,Brampton (East),1359,893,"1,240","1,398","1,498",1370
2018,Brampton (West),1244,818,"1,111","1,279","1,577",1370
2018,Briar Hill-Belgravia,1238,864,"1,138","1,367",**,1370
2018,Broadview North,1243,993,"1,205","1,424","1,714",1370
2018,Bronte,1503,**,"1,356","1,580","1,832",1370
2018,Brookhaven-Amesbury,1207,870,"1,062","1,271","1,515",1370
2018,Cabbagetown-South St. James Town,1419,995,"1,397","1,885",**,1370
2018,Caledon,**,**,**,**,**,1370
2018,Caledonia-Fairbank,1197,882,"1,071","1,389",**,1370
2018,Casa Loma,1838,"1,181","1,486","2,096","3,284",1370
2018,Churchill Meadows/Erin Mills,1451,887,"1,121","1,285","1,774",1370
2018,Church-Yonge Corridor,1617,"1,280","1,597","2,086",**,1370
2018,Clairlea-Birchmount,1144,955,"1,056","1,284","1,517",1370
2018,Clanton Park,1172,867,"1,080","1,296",**,1370
2018,Clarkson/Lorne Park,1275,980,"1,212","1,304","1,369",1370
2018,Cliffcrest,1238,**,"1,160","1,265","1,424",1370
2018,Cooksville,1329,869,"1,225","1,414","1,611",1370
2018,Crescent Town,1179,878,"1,096","1,341","1,558",1370
2018,Danforth Village-East York,1126,805,"1,080","1,248",**,1370
2018,Don Valley Village/Pleasant View,1392,988,"1,219","1,384","1,590",1370
2018,Dorset Park,1131,889,"1,015","1,139","1,367",1370
2018,Dovercourt/Davenport/Junction,1196,**,"1,024","1,312",**,1370
2018,Downsview,1212,876,"1,079","1,266","1,459",1370
2018,Dufferin Grove/Little Portugal,1192,888,"1,239",**,**,1370
2018,East End-Danforth,1553,988,"1,503","1,738",**,1370
2018,East Gwillimbury/Newmarket,1198,759,"1,161","1,286",**,1370
2018,Edenbridge-Humber Valley,1346,**,"1,189","1,330","1,832",1370
2018,Eglinton East,1209,"1,109","1,088","1,227","1,368",1370
2018,Elms-Old Rexdale,1352,**,**,"1,305","1,513",1370
2018,Englemount-Lawrence,1300,998,"1,063","1,320","1,734",1370
2018,Eringate-Centennial-West Deane,**,**,**,**,**,1370
2018,Etobicoke West Mall,1373,**,"1,161","1,389","1,593",1370
2018,Flemingdon Park,1255,**,"1,145","1,308","1,496",1370
2018,Forest Hill North,1479,"1,027","1,280","1,682","2,233",1370
2018,Forest Hill South,1435,"1,100","1,339","1,762",**,1370
2018,Georgina,969,**,830,"1,008",**,1370
2018,Guildwood,1430,**,**,**,"1,819",1370
2018,Henry Farm,1625,**,"1,388","1,716","1,798",1370
2018,High Park North/Junction,1559,"1,135","1,459","1,820","2,467",1370
2018,High Park-Swansea,1302,**,"1,216","1,570",**,1370
2018,Humber Heights-Westmount,1397,**,"1,309","1,405","1,555",1370
2018,Humewood-Cedarvale,1673,"1,013","1,454","2,156",**,1370
2018,Ionview,1149,913,"1,069","1,207","1,378",1370
2018,Islington/City Centre North,1508,"1,420","1,409","1,567","1,662",1370
2018,Islington/City Centre South,1326,"1,136","1,196","1,406","1,496",1370
2018,Keelesdale-Eglinton West,912,**,910,945,**,1370
2018,Kennedy Park,1204,719,"1,132","1,247","1,420",1370
2018,Kensington-Chinatown,**,**,**,**,**,1370
2018,Kingsview Village-The Westway,1304,**,"1,153","1,337","1,496",1370
