,APPLICATION_TYPE,Year,STATUS,ADDRESS,Postcode,_id,Neighbourhood
0,CD,2008,Closed,22 A BIRCH AVE,M4V,164795,Deer Park
1,CD,2008,Closed,22 A BIRCH AVE,M4V,164795,Forest Hill SE
2,CD,2008,Closed,22 A BIRCH AVE,M4V,164795,Rathnelly
3,CD,2008,Closed,22 A BIRCH AVE,M4V,164795,South Hill
4,CD,2008,Closed,22 A BIRCH AVE,M4V,164795,Summerhill West
5,CD,2008,Closed,22 D BIRCH AVE,M4V,164731,Deer Park
6,CD,2008,Closed,22 D BIRCH AVE,M4V,164731,Forest Hill SE
7,CD,2008,Closed,22 D BIRCH AVE,M4V,164731,Rathnelly
8,CD,2008,Closed,22 D BIRCH AVE,M4V,164731,South Hill
9,CD,2008,Closed,22 D BIRCH AVE,M4V,164731,Summerhill West
10,CD,2008,Closed,22 C BIRCH AVE,M4V,165377,Deer Park
11,CD,2008,Closed,22 C BIRCH AVE,M4V,165377,Forest Hill SE
12,CD,2008,Closed,22 C BIRCH AVE,M4V,165377,Rathnelly
13,CD,2008,Closed,22 C BIRCH AVE,M4V,165377,South Hill
14,CD,2008,Closed,22 C BIRCH AVE,M4V,165377,Summerhill West
15,CD,2008,Closed,22 B BIRCH AVE,M4V,164732,Deer Park
16,CD,2008,Closed,22 B BIRCH AVE,M4V,164732,Forest Hill SE
17,CD,2008,Closed,22 B BIRCH AVE,M4V,164732,Rathnelly
18,CD,2008,Closed,22 B BIRCH AVE,M4V,164732,South Hill
19,CD,2008,Closed,22 B BIRCH AVE,M4V,164732,Summerhill West
20,CD,2014,Closed,290 ST CLAIR AVE,M4V,137898,Deer Park
21,CD,2014,Closed,290 ST CLAIR AVE,M4V,137898,Forest Hill SE
22,CD,2014,Closed,290 ST CLAIR AVE,M4V,137898,Rathnelly
23,CD,2014,Closed,290 ST CLAIR AVE,M4V,137898,South Hill
24,CD,2014,Closed,290 ST CLAIR AVE,M4V,137898,Summerhill West
25,CD,2014,Closed,288 ST CLAIR AVE,M4V,137624,Deer Park
26,CD,2014,Closed,288 ST CLAIR AVE,M4V,137624,Forest Hill SE
27,CD,2014,Closed,288 ST CLAIR AVE,M4V,137624,Rathnelly
28,CD,2014,Closed,288 ST CLAIR AVE,M4V,137624,South Hill
29,CD,2014,Closed,288 ST CLAIR AVE,M4V,137624,Summerhill West
30,CD,2014,Closed,111 ST CLAIR AVE,M4V,163891,Deer Park
31,CD,2014,Closed,111 ST CLAIR AVE,M4V,163891,Forest Hill SE
32,CD,2014,Closed,111 ST CLAIR AVE,M4V,163891,Rathnelly
33,CD,2014,Closed,111 ST CLAIR AVE,M4V,163891,South Hill
34,CD,2014,Closed,111 ST CLAIR AVE,M4V,163891,Summerhill West
35,CD,2015,Closed,377 MADISON AVE,M4V,156599,Deer Park
36,CD,2015,Closed,377 MADISON AVE,M4V,156599,Forest Hill SE
37,CD,2015,Closed,377 MADISON AVE,M4V,156599,Rathnelly
38,CD,2015,Closed,377 MADISON AVE,M4V,156599,South Hill
39,CD,2015,Closed,377 MADISON AVE,M4V,156599,Summerhill West
40,CD,2015,Closed,700 HURON ST,M4V,117845,Deer Park
41,CD,2015,Closed,700 HURON ST,M4V,117845,Forest Hill SE
42,CD,2015,Closed,700 HURON ST,M4V,117845,Rathnelly
43,CD,2015,Closed,700 HURON ST,M4V,117845,South Hill
44,CD,2015,Closed,700 HURON ST,M4V,117845,Summerhill West
45,CD,2016,Closed,223 ST CLAIR AVE,M4V,129652,Deer Park
46,CD,2016,Closed,223 ST CLAIR AVE,M4V,129652,Forest Hill SE
47,CD,2016,Closed,223 ST CLAIR AVE,M4V,129652,Rathnelly
48,CD,2016,Closed,223 ST CLAIR AVE,M4V,129652,South Hill
49,CD,2016,Closed,223 ST CLAIR AVE,M4V,129652,Summerhill West
50,CD,2016,Closed,219 ST CLAIR AVE,M4V,129657,Deer Park
51,CD,2016,Closed,219 ST CLAIR AVE,M4V,129657,Forest Hill SE
52,CD,2016,Closed,219 ST CLAIR AVE,M4V,129657,Rathnelly
53,CD,2016,Closed,219 ST CLAIR AVE,M4V,129657,South Hill
54,CD,2016,Closed,219 ST CLAIR AVE,M4V,129657,Summerhill West
55,CD,2016,Closed,215 ST CLAIR AVE,M4V,129824,Deer Park
56,CD,2016,Closed,215 ST CLAIR AVE,M4V,129824,Forest Hill SE
57,CD,2016,Closed,215 ST CLAIR AVE,M4V,129824,Rathnelly
58,CD,2016,Closed,215 ST CLAIR AVE,M4V,129824,South Hill
59,CD,2016,Closed,215 ST CLAIR AVE,M4V,129824,Summerhill West
60,CD,2016,Closed,213 ST CLAIR AVE,M4V,159052,Deer Park
61,CD,2016,Closed,213 ST CLAIR AVE,M4V,159052,Forest Hill SE
