,Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Postcode,APPLICATION_TYPE,STATUS,ADDRESS,_id,Whole_Toronto_AV
0,2018,Alderwood,"1,435",**,"1,169","1,462",**,M8W,CD,Under Review ,68 DAISY AVE,165711,"1,370"
1,2018,Long Branch,"1,041",728,972,"1,153",**,M8W,CD,Under Review ,68 DAISY AVE,165711,"1,370"
2,2018,Bathurst Manor,"1,342",**,"1,216","1,346","1,567",M3H,CD,Draft Plan Approved,747 SHEPPARD AVE,145205,"1,370"
3,2018,Bayview Village,"1,666","1,072","1,381","1,671",**,M2K,CD,Draft Plan Approved,591 SHEPPARD AVE,152795,"1,370"
4,2018,Cliffcrest,"1,238",**,"1,160","1,265","1,424",M1M,CD,Under Review ,2815 KINGSTON RD,121837,"1,370"
5,2018,Dorset Park,"1,131",889,"1,015","1,139","1,367",M1P,CD,Under Review ,228-250 MIDWEST RD,120587,"1,370"
6,2018,Henry Farm,"1,625",**,"1,388","1,716","1,798",M2J,CD,Closed,3 KINGSLAKE RD,170413,"1,370"
7,2018,Henry Farm,"1,625",**,"1,388","1,716","1,798",M2J,CD,Closed,5 KINGSLAKE RD,170450,"1,370"
8,2018,Henry Farm,"1,625",**,"1,388","1,716","1,798",M2J,CD,Closed,17 ALLENBURY GDNS,170088,"1,370"
9,2018,Henry Farm,"1,625",**,"1,388","1,716","1,798",M2J,CD,Closed,11 ALLENBURY GDNS,170594,"1,370"
10,2018,Henry Farm,"1,625",**,"1,388","1,716","1,798",M2J,CD,Closed,05-Mar ALLENBURY GDNS,165419,"1,370"
11,2018,Henry Farm,"1,625",**,"1,388","1,716","1,798",M2J,CD,Closed,21 ALLENBURY GDNS,164082,"1,370"
12,2018,Henry Farm,"1,625",**,"1,388","1,716","1,798",M2J,CD,Closed,50 FOREST MANOR RD,156370,"1,370"
13,2018,New Toronto,"1,046",805,999,"1,153",**,M8V,CD,Under Review ,2183 LAKE SHORE BLVD,165148,"1,370"
14,2018,New Toronto,"1,046",805,999,"1,153",**,M8V,CD,Under Review ,2183 LAKE SHORE BLVD,164947,"1,370"
15,2018,New Toronto,"1,046",805,999,"1,153",**,M8V,CD,Under Review ,2183 LAKE SHORE BLVD,164946,"1,370"
16,2018,Roncesvalles,"1,186",942,"1,103","1,465",**,M6R,CD,Closed,66 HOWARD PARK AVE,124209,"1,370"
17,2018,Roncesvalles,"1,186",942,"1,103","1,465",**,M6R,CD,Closed,60 HOWARD PARK AVE,124117,"1,370"
18,2018,Roncesvalles,"1,186",942,"1,103","1,465",**,M6R,CD,Closed,30 A HOWARD PARK AVE,124114,"1,370"
19,2018,Roncesvalles,"1,186",942,"1,103","1,465",**,M6R,CD,Draft Plan Approved,35 WABASH AVE,122702,"1,370"
20,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,838 YONGE ST,126008,"1,370"
21,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,836 YONGE ST,126011,"1,370"
22,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,838 YONGE ST,126007,"1,370"
23,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,1027 YONGE ST,136228,"1,370"
24,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,840 YONGE ST,126004,"1,370"
25,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,836 YONGE ST,126012,"1,370"
26,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,846 YONGE ST,127341,"1,370"
27,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,844 YONGE ST,127344,"1,370"
28,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,844 YONGE ST,127345,"1,370"
29,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,840 YONGE ST,127348,"1,370"
30,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,850 YONGE ST,164741,"1,370"
31,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,850 YONGE ST,164742,"1,370"
32,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,846 YONGE ST,127340,"1,370"
33,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,3 YORKVILLE AVE,127336,"1,370"
34,2018,Rosedale,**,**,**,**,**,M4W,CD,Draft Plan Approved,3 YORKVILLE AVE,127337,"1,370"
35,2018,Rouge,"1,162",**,**,"1,163","1,305",M1B,CD,Under Review ,8833 SHEPPARD AVE,170308,"1,370"
36,2018,Rouge,"1,162",**,**,"1,163","1,305",M1B,CD,Under Review ,8817-8825 SHEPPARD AVE,122797,"1,370"
37,2018,Woburn,"1,201",916,"1,098","1,231","1,336",M1G,CD,Under Review ,02-Jan MEADOWGLEN PL,120562,"1,370"
38,2016,Alderwood,"1,245",**,"1,036","1,264",**,M8W,CD,Closed,636 EVANS AVE,162284,"1,240"
39,2016,Long Branch,945,747,916,"1,016",**,M8W,CD,Closed,636 EVANS AVE,162284,"1,240"
40,2016,Bayview Village,"1,499",**,"1,325","1,571",**,M2K,CD,Closed,780 SHEPPARD AVE,155897,"1,240"
41,2016,Cliffcrest,"1,101",837,"1,008","1,131","1,363",M1M,CD,Closed,3765 ST CLAIR AVE,121833,"1,240"
42,2016,Dorset Park,"1,005",770,910,"1,044","1,326",M1P,CD,Closed,1680 MIDLAND AVE,120804,"1,240"
43,2016,Forest Hill North,"1,327",913,"1,146","1,461","2,049",M5P,CD,Closed,1657 BATHURST ST,173220,"1,240"
44,2016,Guildwood,**,**,**,**,**,M1E,CD,Closed,280 MANSE RD,171492,"1,240"
45,2016,Morningside,"1,043",**,948,"1,067","1,279",M1E,CD,Closed,280 MANSE RD,171492,"1,240"
46,2016,West Hill,"1,068",778,967,"1,064","1,185",M1E,CD,Closed,280 MANSE RD,171492,"1,240"
47,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,125 PARKWAY FOREST DR,155681,"1,240"
48,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,130 PARKWAY FOREST DR,155689,"1,240"
49,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,80 FOREST MANOR RD,164263,"1,240"
50,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,100 PARKWAY FOREST DR,164094,"1,240"
51,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,120-130 GEORGE HENRY BLVD,160416,"1,240"
52,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,130 PARKWAY FOREST DR,164660,"1,240"
53,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,130 GEORGE HENRY BLVD,165009,"1,240"
54,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,80 FOREST MANOR RD,166818,"1,240"
55,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,32-50 FOREST MANOR RD,153008,"1,240"
56,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,120 GEORGE HENRY BLVD,116046,"1,240"
57,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,125 PARKWAY FOREST DR,151946,"1,240"
58,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,65 FOREST MANOR RD,152723,"1,240"
59,2016,Henry Farm,"1,396",**,"1,248","1,422","1,615",M2J,CD,Closed,110 PARKWAY FOREST DR,152725,"1,240"
60,2016,Humewood-Cedarvale,"1,386",852,"1,246","1,641",**,M6C,CD,Closed,835 ST CLAIR AVE,128086,"1,240"
61,2016,Humewood-Cedarvale,"1,386",852,"1,246","1,641",**,M6C,CD,Closed,833 ST CLAIR AVE,128164,"1,240"
62,2016,Humewood-Cedarvale,"1,386",852,"1,246","1,641",**,M6C,CD,Closed,829 ST CLAIR AVE,128167,"1,240"
63,2016,Humewood-Cedarvale,"1,386",852,"1,246","1,641",**,M6C,CD,Closed,927 EGLINTON AVE,170672,"1,240"
64,2016,Humewood-Cedarvale,"1,386",852,"1,246","1,641",**,M6C,CD,Closed,925 EGLINTON AVE,170669,"1,240"
65,2016,Humewood-Cedarvale,"1,386",852,"1,246","1,641",**,M6C,CD,Closed,927 A EGLINTON AVE,166902,"1,240"
66,2016,Humewood-Cedarvale,"1,386",852,"1,246","1,641",**,M6C,CD,Closed,935 EGLINTON AVE,152280,"1,240"
67,2016,New Toronto,950,**,886,"1,095",**,M8V,CD,Draft Plan Approved,2151-2153 LAKE SHORE BLVD,166185,"1,240"
68,2016,New Toronto,950,**,886,"1,095",**,M8V,CD,Draft Plan Approved,2151-2153 LAKE SHORE BLVD,166120,"1,240"
69,2016,New Toronto,950,**,886,"1,095",**,M8V,CD,Closed,250 ROYAL YORK RD,171426,"1,240"
70,2016,New Toronto,950,**,886,"1,095",**,M8V,CD,Closed,2175 LAKE SHORE BLVD,171715,"1,240"
71,2016,Roncesvalles,"1,202",**,"1,156",**,**,M6R,CD,Closed,383 SORAUREN AVE,115942,"1,240"
72,2016,Scarborough Village,"1,077",**,979,"1,077","1,296",M1J,CD,Closed,10 NELSON ST,119930,"1,240"
73,2016,The Beaches,"1,228",888,"1,152","1,447","1,961",M4E,CD,Closed,646 KINGSTON RD,171062,"1,240"
74,2016,The Beaches,"1,228",888,"1,152","1,447","1,961",M4E,CD,Closed,663 KINGSTON RD,133338,"1,240"
75,2016,The Beaches,"1,228",888,"1,152","1,447","1,961",M4E,CD,Closed,715 KINGSTON RD,133205,"1,240"
76,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Closed,3600 LAKE SHORE BLVD,158302,"1,208"
77,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Closed,3600 LAKE SHORE BLVD,158301,"1,208"
78,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Closed,3560 LAKE SHORE BLVD,157900,"1,208"
79,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Closed,3560 LAKE SHORE BLVD,157899,"1,208"
80,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Under Review ,28 MARINA AVE,165247,"1,208"
81,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Under Review ,62 LONG BRANCH AVE,173315,"1,208"
82,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Under Review ,68 LONG BRANCH AVE,116433,"1,208"
83,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Closed,3600 LAKE SHORE BLVD,158302,"1,208"
84,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Closed,3600 LAKE SHORE BLVD,158301,"1,208"
85,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Closed,3560 LAKE SHORE BLVD,157900,"1,208"
86,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Closed,3560 LAKE SHORE BLVD,157899,"1,208"
87,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Under Review ,28 MARINA AVE,165247,"1,208"
88,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Under Review ,62 LONG BRANCH AVE,173315,"1,208"
89,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Under Review ,68 LONG BRANCH AVE,116433,"1,208"
90,2015,Henry Farm,"1,329",**,"1,168","1,343","1,545",M2J,CD,Closed,2205 SHEPPARD AVE,153996,"1,208"
91,2015,Ionview,"1,015",798,935,"1,092","1,223",M1K,CD,Closed,3560 ST CLAIR AVE,156137,"1,208"
92,2015,Kennedy Park,"1,006",743,919,"1,064",**,M1K,CD,Closed,3560 ST CLAIR AVE,156137,"1,208"
93,2015,Rosedale,**,**,"1,422","2,095",**,M4W,CD,Closed,1 BLOOR ST,173332,"1,208"
94,2015,Rosedale,**,**,"1,422","2,095",**,M4W,CD,Closed,23 BLOOR ST,131491,"1,208"
95,2015,Scarborough Village,"1,064",**,945,"1,065","1,264",M1J,CD,Closed,10 NELSON ST,119929,"1,208"
96,2015,Weston,"1,045",791,970,"1,148","1,283",M9N,CD,Under Review ,1677 WESTON RD,153471,"1,208"
97,2015,Weston,"1,045",791,970,"1,148","1,283",M9N,CD,Draft Plan Approved,2179 WESTON RD,173071,"1,208"
98,2012,Alderwood,"1,133",**,938,"1,155",**,M8W,CD,Closed,3563 LAKE SHORE BLVD,165426,"1,108"
99,2012,Alderwood,"1,133",**,938,"1,155",**,M8W,CD,Closed,3567 LAKE SHORE BLVD,173038,"1,108"
100,2012,Long Branch,831,620,779,910,**,M8W,CD,Closed,3563 LAKE SHORE BLVD,165426,"1,108"
101,2012,Long Branch,831,620,779,910,**,M8W,CD,Closed,3567 LAKE SHORE BLVD,173038,"1,108"
102,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,525 WILSON AVE,144521,"1,108"
103,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,701 SHEPPARD AVE,143952,"1,108"
104,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,758 SHEPPARD AVE,164693,"1,108"
105,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,760 SHEPPARD AVE,146095,"1,108"
106,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,764 SHEPPARD AVE,146098,"1,108"
107,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,724 SHEPPARD AVE,146685,"1,108"
108,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,760 SHEPPARD AVE,155583,"1,108"
109,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,758 SHEPPARD AVE,164646,"1,108"
110,2012,Dorset Park,983,746,877,"1,017","1,172",M1P,CD,Closed,1051 ELLESMERE RD,120584,"1,108"
111,2012,Dorset Park,983,746,877,"1,017","1,172",M1P,CD,Closed,85 NANTUCKET BLVD,119673,"1,108"
112,2012,Dorset Park,983,746,877,"1,017","1,172",M1P,CD,Closed,1415 KENNEDY RD,118636,"1,108"
113,2012,Guildwood,"1,127",**,994,"1,144","1,409",M1E,CD,Closed,4572 KINGSTON RD,121810,"1,108"
114,2012,Guildwood,"1,127",**,994,"1,144","1,409",M1E,CD,Closed,4576 KINGSTON RD,121806,"1,108"
115,2012,Guildwood,"1,127",**,994,"1,144","1,409",M1E,CD,Closed,4691 KINGSTON RD,121421,"1,108"
116,2012,Morningside,951,**,865,978,"1,137",M1E,CD,Closed,4572 KINGSTON RD,121810,"1,108"
117,2012,Morningside,951,**,865,978,"1,137",M1E,CD,Closed,4576 KINGSTON RD,121806,"1,108"
118,2012,Morningside,951,**,865,978,"1,137",M1E,CD,Closed,4691 KINGSTON RD,121421,"1,108"
119,2012,West Hill,967,**,859,970,"1,075",M1E,CD,Closed,4572 KINGSTON RD,121810,"1,108"
120,2012,West Hill,967,**,859,970,"1,075",M1E,CD,Closed,4576 KINGSTON RD,121806,"1,108"
