,APPLICATION_TYPE,Year_x,STATUS,POSTAL,Neighbourhood,Borough,Rent,_id
1862,CD,2010,Under Review ,M1G,Woburn,Scarborough,934,120562
502,CD,2010,Closed,M1P,Dorset Park,Scarborough,874,120804
503,CD,2010,Under Review ,M1P,Dorset Park,Scarborough,874,120587
512,CD,2010,Closed,M6L,Downsview,North York,911,143077
537,CD,2010,Closed,M3C,Flemingdon Park,North York,"1,048",151337
305,CD,2010,Draft Plan Approved,M3H,Bathurst Manor,North York,"1,094",145205
304,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",144183
303,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",164646
302,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",155583
301,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",146685
300,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",146098
299,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",146095
298,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",164693
297,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",143952
296,CD,2010,Closed,M3H,Bathurst Manor,North York,"1,094",144521
538,CD,2010,Application Received,M3C,Flemingdon Park,North York,"1,048",151336
539,CD,2010,Draft Plan Approved,M3C,Flemingdon Park,North York,"1,048",163787
1709,CD,2010,Draft Plan Approved,M4W,Rosedale,Downtown Toronto,976,127337
1708,CD,2010,Draft Plan Approved,M4W,Rosedale,Downtown Toronto,976,127336
1707,CD,2010,Draft Plan Approved,M4W,Rosedale,Downtown Toronto,976,127340
881,CD,2010,Closed,M1E,West Hill,Scarborough,"1,316",171492
880,CD,2010,Closed,M1E,West Hill,Scarborough,"1,316",121421
879,CD,2010,Closed,M1E,West Hill,Scarborough,"1,316",121806
878,CD,2010,Closed,M1E,West Hill,Scarborough,"1,316",121810
1706,CD,2010,Draft Plan Approved,M4W,Rosedale,Downtown Toronto,976,164742
1705,CD,2010,Draft Plan Approved,M4W,Rosedale,Downtown Toronto,976,164741
501,CD,2010,Closed,M1P,Dorset Park,Scarborough,874,118636
1704,CD,2010,Draft Plan Approved,M4W,Rosedale,Downtown Toronto,976,127348
500,CD,2010,Closed,M1P,Dorset Park,Scarborough,874,119673
1772,CD,2010,Closed,M1J,Scarborough Village,Scarborough,"1,323",119930
1117,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",152725
1116,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",152723
1115,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",151946
1114,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",116046
1113,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",153008
1817,CD,2010,Closed,M4E,The Beaches,East Toronto,862,133205
1816,CD,2010,Closed,M4E,The Beaches,East Toronto,862,133338
1815,CD,2010,Closed,M4E,The Beaches,East Toronto,862,171062
1814,CD,2010,Closed,M4E,The Beaches,East Toronto,862,134732
1112,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",166818
1111,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",165009
1110,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",164660
1109,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",160416
1108,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",164094
1107,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",164263
1106,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",155689
1105,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",155681
1104,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",153996
1103,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",160414
1102,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",152923
1101,CD,2010,Draft Plan Approved,M2J,Henry Farm,North York,"1,229",160412
1100,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",160413
1099,CD,2010,Draft Plan Approved,M2J,Henry Farm,North York,"1,229",152727
1098,CD,2010,Closed,M2J,Henry Farm,North York,"1,229",152921
1771,CD,2010,Closed,M1J,Scarborough Village,Scarborough,"1,323",119929
499,CD,2010,Closed,M1P,Dorset Park,Scarborough,874,120584
1703,CD,2010,Draft Plan Approved,M4W,Rosedale,Downtown Toronto,976,127345
845,CD,2010,Closed,M1E,Morningside,Scarborough,830,171492
844,CD,2010,Closed,M1E,Morningside,Scarborough,830,121421
211,CD,2010,Under Review ,M8W,Long Branch,Etobicoke,"1,149",165247
212,CD,2010,Under Review ,M8W,Long Branch,Etobicoke,"1,149",173315
213,CD,2010,Under Review ,M8W,Long Branch,Etobicoke,"1,149",116433
214,CD,2010,Closed,M8W,Long Branch,Etobicoke,"1,149",162284
215,CD,2010,Under Review ,M8W,Long Branch,Etobicoke,"1,149",165711
764,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",139463
763,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",139460
762,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",139457
761,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",139109
760,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",138791
759,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",138788
758,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",138794
757,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",138797
756,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",138800
755,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",138803
754,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",139026
753,CD,2010,Under Review ,M5P,Forest Hill North,Central Toronto,"1,066",154010
752,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",137051
751,CD,2010,Under Review ,M5P,Forest Hill North,Central Toronto,"1,066",153923
750,CD,2010,Draft Plan Approved,M5P,Forest Hill North,Central Toronto,"1,066",136719
749,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",137147
748,CD,2010,Closed,M5P,Forest Hill North,Central Toronto,"1,066",172930
