,Year,Total,APPLICATION_TYPE,STATUS,ADDRESS,Postcode,_id,Neighbourhood,Rent
856,2019,,CD,Under Review ,375 OSLER ST,M6N,115722,,
818,2017,"1,308",CD,Closed,235 JARVIS ST,M5B,115748,,
61,2019,,CD,Under Review ,35 DUNDONALD ST,M4Y,115798,,
663,2014,"1,170",CD,Closed,2200 LAKE SHORE BLVD,M8V,115836,New Toronto,879
100,2016,"1,240",CD,Closed,383 SORAUREN AVE,M6R,115942,Roncesvalles,"1,202"
477,2016,"1,240",CD,Draft Plan Approved,1990 BLOOR ST,M6P,115947,,
801,2018,"1,370",CD,Closed,161 EGLINTON AVE,M4P,115951,,
695,2016,"1,240",CD,Closed,120 GEORGE HENRY BLVD,M2J,116046,Henry Farm,"1,396"
316,2013,"1,138",CD,Closed,41 OSSINGTON AVE,M6J,116071,,
647,2015,"1,208",CD,Closed,26 GREENVIEW AVE,M2M,116208,,
596,2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,116366,,
595,2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,116369,,
597,2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,116372,,
42,2017,"1,308",CD,Draft Plan Approved,454-464 YONGE ST,M4Y,116403,,
205,2015,"1,208",CD,Under Review ,68 LONG BRANCH AVE,M8W,116433,Alderwood,"1,084"
206,2015,"1,208",CD,Under Review ,68 LONG BRANCH AVE,M8W,116433,Long Branch,949
598,2015,"1,208",CD,Closed,185 DAVENPORT RD,M5R,116480,,
620,2012,"1,108",CD,Closed,980 LANSDOWNE AVE,M6H,116508,,
632,2016,"1,240",CD,Closed,980 LANSDOWNE AVE,M6H,116518,,
633,2016,"1,240",CD,Closed,980 LANSDOWNE AVE,M6H,116519,,
361,2014,"1,170",CD,Draft Plan Approved,2:00 AM SPADINA AVE,M5V,116526,,
124,2009,"1,018",CD,Closed,2 B MINTO ST,M4L,116534,,
249,2010,"1,048",CD,Closed,650 SHEPPARD AVE,M2K,116615,Bayview Village,"1,325"
463,2019,,CD,Under Review ,200 DUNDAS ST,M5A,116664,,
727,2016,"1,240",CD,Closed,3095 DUFFERIN ST,M6A,116810,,
186,2010,"1,048",CD,Under Review ,80 BELL ESTATE RD,M1L,116813,Oakridge,"1,123"
728,2016,"1,240",CD,Closed,3101 DUFFERIN ST,M6A,116848,,
428,2014,"1,170",CD,Application Received,105 GEORGE ST,M5A,116859,,
427,2014,"1,170",CD,Application Received,105 GEORGE ST,M5A,116860,,
426,2014,"1,170",CD,Closed,105 GEORGE ST,M5A,116861,,
91,2015,"1,208",CD,Under Review ,1961 VICTORIA PARK AVE,M1R,116929,,
213,2010,"1,048",CD,Closed,3720 MIDLAND AVE,M1V,117100,,
215,2017,"1,308",CD,Closed,3720 MIDLAND AVE,M1V,117102,,
738,2013,"1,138",CD,Closed,426 UNIVERSITY AVE,M5G,117358,,
8,2015,"1,208",CD,Closed,700 HURON ST,M4V,117845,,
490,2019,,CD,Under Review ,2301 DANFORTH AVE,M4C,117935,,
489,2019,,CD,Under Review ,2309 DANFORTH AVE,M4C,117941,,
839,2017,"1,308",CD,Closed,2229 KINGSTON RD,M1N,118057,,
21,2011,"1,073",CD,Closed,300 NANTUCKET BLVD,M1P,118630,Dorset Park,891
24,2012,"1,108",CD,Closed,1415 KENNEDY RD,M1P,118636,Dorset Park,958
836,2016,"1,240",CD,Closed,1340 KINGSTON RD,M1N,119349,,
841,2018,"1,370",CD,Draft Plan Approved,1346 KINGSTON RD,M1N,119353,,
840,2018,"1,370",CD,Draft Plan Approved,1548 KINGSTON RD,M1N,119491,,
27,2019,,CD,Under Review ,1001 ELLESMERE RD,M1P,119671,,
23,2012,"1,108",CD,Closed,85 NANTUCKET BLVD,M1P,119673,Dorset Park,958
19,2008,"1,021",CD,Closed,125 NANTUCKET BLVD,M1P,119676,,
20,2008,"1,021",CD,Closed,125 NANTUCKET BLVD,M1P,119677,,
767,2014,"1,170",CD,Closed,2020 ELLESMERE RD,M1H,119780,,
831,2015,"1,208",CD,Closed,10 NELSON ST,M1J,119929,Scarborough Village,"1,064"
832,2016,"1,240",CD,Closed,10 NELSON ST,M1J,119930,Scarborough Village,"1,077"
83,2009,"1,018",CD,Under Review,1955 VICTORIA PARK AVE,M1R,120019,,
92,2015,"1,208",CD,Under Review ,1955 VICTORIA PARK AVE,M1R,120088,,
852,2018,"1,370",CD,Under Review ,02-Jan MEADOWGLEN PL,M1G,120562,Woburn,"1,201"
491,2011,"1,073",CD,Closed,3360 KINGSTON RD,M1M,120578,Cliffcrest,"1,060"
22,2012,"1,108",CD,Closed,1051 ELLESMERE RD,M1P,120584,Dorset Park,958
26,2018,"1,370",CD,Under Review ,228-250 MIDWEST RD,M1P,120587,Dorset Park,"1,067"
25,2016,"1,240",CD,Closed,1680 MIDLAND AVE,M1P,120804,Dorset Park,985
471,2011,"1,073",CD,Closed,200 ANNETTE ST,M6P,121132,,
754,2018,"1,370",CD,Draft Plan Approved,368 JANE ST,M6S,121373,,
531,2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,West Hill,967
529,2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,Guildwood,"1,127"
530,2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,Morningside,951
834,2017,"1,308",CD,Draft Plan Approved,1251 BRIDLETOWNE CRCL,M1W,121532,,
833,2016,"1,240",CD,Under Review ,1251 BRIDLETOWNE CRCL,M1W,121534,,
526,2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,Guildwood,"1,127"
527,2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,Morningside,951
528,2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,West Hill,967
523,2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,Guildwood,"1,127"
525,2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,West Hill,967
524,2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,Morningside,951
493,2016,"1,240",CD,Closed,3765 ST CLAIR AVE,M1M,121833,Cliffcrest,"1,101"
494,2018,"1,370",CD,Under Review ,2815 KINGSTON RD,M1M,121837,Cliffcrest,"1,238"
736,2013,"1,138",CD,Draft Plan Approved,6039 KINGSTON RD,M1C,122016,,
835,2018,"1,370",CD,Draft Plan Approved,2100-2122 BRIDLETOWNE CRCL,M1W,122045,,
737,2015,"1,208",CD,Closed,17 ISLAND RD,M1C,122125,,
474,2015,"1,208",CD,Closed,2803 DUNDAS ST,M6P,122523,,
105,2018,"1,370",CD,Draft Plan Approved,35 WABASH AVE,M6R,122702,Roncesvalles,"1,186"
422,2018,"1,370",CD,Under Review ,8817-8825 SHEPPARD AVE,M1B,122797,Rouge,"1,162"
262,2011,"1,073",CD,Closed,1480 QUEEN ST,M6K,122835,,
481,2019,,CD,Under Review ,3258 DUNDAS ST,M6P,122879,,
94,2009,"1,018",CD,Closed,53 HIGH PARK BLVD,M6R,122955,,
214,2014,"1,170",CD,Draft Plan Approved,815 MIDDLEFIELD RD,M1V,123183,,
475,2015,"1,208",CD,Closed,1844 BLOOR ST,M6P,123251,,
266,2014,"1,170",CD,Draft Plan Approved,25 CUNNINGHAM AVE,M6K,123270,,
476,2016,"1,240",CD,Draft Plan Approved,26 PARKVIEW GDNS,M6P,123321,,
473,2014,"1,170",CD,Closed,243 PERTH AVE,M6P,123665,,
418,2011,"1,073",CD,Closed,38 TIDESWELL BLVD,M1B,123714,Rouge,913
99,2014,"1,170",CD,Closed,24 HOWARD PARK AVE,M6R,123884,Roncesvalles,942
264,2014,"1,170",CD,Closed,1205 QUEEN ST,M6K,124089,,
98,2014,"1,170",CD,Closed,30 A HOWARD PARK AVE,M6R,124113,Roncesvalles,942
104,2018,"1,370",CD,Closed,30 A HOWARD PARK AVE,M6R,124114,Roncesvalles,"1,186"
97,2014,"1,170",CD,Closed,60 HOWARD PARK AVE,M6R,124116,Roncesvalles,942
103,2018,"1,370",CD,Closed,60 HOWARD PARK AVE,M6R,124117,Roncesvalles,"1,186"
480,2019,,CD,Under Review ,26 ERNEST AVE,M6P,124173,,
479,2019,,CD,Under Review ,26 ERNEST AVE,M6P,124175,,
96,2014,"1,170",CD,Closed,66 HOWARD PARK AVE,M6R,124208,Roncesvalles,942
102,2018,"1,370",CD,Closed,66 HOWARD PARK AVE,M6R,124209,Roncesvalles,"1,186"
310,2011,"1,073",CD,Closed,2 OSSINGTON AVE,M6J,124664,,
331,2015,"1,208",CD,Closed,20 GLADSTONE AVE,M6J,124722,,
313,2012,"1,108",CD,Closed,8 GLADSTONE AVE,M6J,124727,,
156,2014,"1,170",CD,Closed,354 HARBORD ST,M6G,124749,,
635,2018,"1,370",CD,Draft Plan Approved,138 ST HELEN'S AVE,M6H,124873,,
854,2019,,CD,Under Review ,367 OSLER ST,M6N,125012,,
855,2019,,CD,Under Review ,1771 ST CLAIR AVE,M6N,125016,,
346,2011,"1,073",CD,Closed,25 STAFFORD ST,M5V,125087,,
157,2019,,CD,Under Review ,786 OSSINGTON AVE,M6G,125179,,
349,2012,"1,108",CD,Closed,751 KING ST,M5V,125192,,
630,2015,"1,208",CD,Closed,52 BARTLETT AVE,M6H,125206,,
101,2017,"1,308",CD,Draft Plan Approved,158 STERLING RD,M6R,125220,Roncesvalles,923
634,2018,"1,370",CD,Under Review ,1025 DUPONT ST,M6H,125244,,
318,2014,"1,170",CD,Closed,110 PALMERSTON AVE,M6J,125376,,
342,2018,"1,370",CD,Under Review ,104 NORTHCOTE AVE,M6J,125412,,
320,2014,"1,170",CD,Draft Plan Approved,842 RICHMOND ST,M6J,125483,,
326,2014,"1,170",CD,Draft Plan Approved,846 RICHMOND ST,M6J,125486,,
325,2014,"1,170",CD,Closed,48 ABELL ST,M6J,125509,,
324,2014,"1,170",CD,Closed,2 LISGAR ST,M6J,125512,,
323,2014,"1,170",CD,Draft Plan Approved,850 RICHMOND ST,M6J,125733,,
265,2014,"1,170",CD,Closed,1030 KING ST,M6K,125744,,
334,2015,"1,208",CD,Closed,11 PEEL AVE,M6J,125754,,
619,2012,"1,108",CD,Closed,90 CALEDONIA PARK RD,M6H,125921,,
113,2018,"1,370",CD,Draft Plan Approved,840 YONGE ST,M4W,126004,Rosedale,**
111,2018,"1,370",CD,Draft Plan Approved,838 YONGE ST,M4W,126007,Rosedale,**
109,2018,"1,370",CD,Draft Plan Approved,838 YONGE ST,M4W,126008,Rosedale,**
110,2018,"1,370",CD,Draft Plan Approved,836 YONGE ST,M4W,126011,Rosedale,**
114,2018,"1,370",CD,Draft Plan Approved,836 YONGE ST,M4W,126012,Rosedale,**
602,2017,"1,308",CD,Closed,1443 BATHURST ST,M5R,126133,,
338,2016,"1,240",CD,Closed,103 OSSINGTON AVE,M6J,126165,,
339,2016,"1,240",CD,Closed,109-111 OSSINGTON AVE,M6J,126168,,
580,2013,"1,138",CD,Closed,7 AUSTIN TER,M5R,126203,,
599,2016,"1,240",CD,Closed,277 DAVENPORT RD,M5R,126284,,
607,2018,"1,370",CD,Under Review ,94 CUMBERLAND ST,M5R,126304,,
565,2016,"1,240",CD,Closed,192 BLOOR ST,M5S,126312,,
564,2016,"1,240",CD,Closed,192 A BLOOR ST,M5S,126393,,
562,2016,"1,240",CD,Closed,194 BLOOR ST,M5S,126396,,
623,2013,"1,138",CD,Closed,711 DOVERCOURT RD,M6H,126504,,
624,2013,"1,138",CD,Closed,715 DOVERCOURT RD,M6H,126507,,
625,2013,"1,138",CD,Closed,717 DOVERCOURT RD,M6H,126509,,
336,2015,"1,208",CD,Closed,25 NORTHCOTE AVE,M6J,126641,,
629,2015,"1,208",CD,Closed,998 COLLEGE ST,M6H,126667,,
650,2012,"1,108",CD,Closed,743 ST CLAIR AVE,M6C,126908,Humewood-Cedarvale,"1,141"
322,2014,"1,170",CD,Draft Plan Approved,23 GIVINS ST,M6J,126963,,
321,2014,"1,170",CD,Draft Plan Approved,25 GIVINS ST,M6J,126965,,
155,2013,"1,138",CD,Closed,540 COLLEGE ST,M6G,127037,,
335,2015,"1,208",CD,Closed,854 DUNDAS ST,M6J,127067,,
337,2015,"1,208",CD,Closed,854 DUNDAS ST,M6J,127068,,
631,2015,"1,208",CD,Closed,455 DOVERCOURT RD,M6H,127183,,
575,2012,"1,108",CD,Draft Plan Approved,126 A SPADINA RD,M5R,127200,,
332,2015,"1,208",CD,Closed,856 DUNDAS ST,M6J,127290,,
329,2015,"1,208",CD,Closed,856 DUNDAS ST,M6J,127291,,
333,2015,"1,208",CD,Closed,858 DUNDAS ST,M6J,127294,,
328,2015,"1,208",CD,Closed,858 DUNDAS ST,M6J,127295,,
122,2018,"1,370",CD,Draft Plan Approved,3 YORKVILLE AVE,M4W,127336,Rosedale,**
123,2018,"1,370",CD,Draft Plan Approved,3 YORKVILLE AVE,M4W,127337,Rosedale,**
121,2018,"1,370",CD,Draft Plan Approved,846 YONGE ST,M4W,127340,Rosedale,**
115,2018,"1,370",CD,Draft Plan Approved,846 YONGE ST,M4W,127341,Rosedale,**
116,2018,"1,370",CD,Draft Plan Approved,844 YONGE ST,M4W,127344,Rosedale,**
117,2018,"1,370",CD,Draft Plan Approved,844 YONGE ST,M4W,127345,Rosedale,**
118,2018,"1,370",CD,Draft Plan Approved,840 YONGE ST,M4W,127348,Rosedale,**
327,2015,"1,208",CD,Under Review ,259 DOVERCOURT RD,M6J,127485,,
330,2015,"1,208",CD,Closed,1243 DUNDAS ST,M6J,127491,,
621,2013,"1,138",CD,Closed,707 DOVERCOURT RD,M6H,127634,,
622,2013,"1,138",CD,Closed,709 DOVERCOURT RD,M6H,127637,,
374,2016,"1,240",CD,Closed,56 BLUE JAYS WAY,M5V,127831,,
347,2011,"1,073",CD,Closed,500 WELLINGTON ST,M5V,127875,,
354,2013,"1,138",CD,Closed,560 KING ST,M5V,127929,,
369,2015,"1,208",CD,Closed,525 ADELAIDE ST,M5V,127938,,
348,2012,"1,108",CD,Closed,508 WELLINGTON ST,M5V,127949,,
417,2019,,CD,Draft Plan Approved,355 KING ST,M5V,128073,,
651,2016,"1,240",CD,Closed,835 ST CLAIR AVE,M6C,128086,Humewood-Cedarvale,"1,386"
652,2016,"1,240",CD,Closed,833 ST CLAIR AVE,M6C,128164,Humewood-Cedarvale,"1,386"
653,2016,"1,240",CD,Closed,829 ST CLAIR AVE,M6C,128167,Humewood-Cedarvale,"1,386"
396,2017,"1,308",CD,Closed,81 PETER ST,M5V,128195,,
566,2016,"1,240",CD,Closed,200 BLOOR ST,M5S,128221,,
154,2009,"1,018",CD,Closed,222 CHRISTIE ST,M6G,128340,,
587,2014,"1,170",CD,Closed,131 HAZELTON AVE,M5R,128500,,
368,2015,"1,208",CD,Closed,621 KING ST,M5V,128560,,
594,2015,"1,208",CD,Closed,147 DAVENPORT RD,M5R,128570,,
606,2018,"1,370",CD,Draft Plan Approved,128 PEARS AVE,M5R,128609,,
415,2018,"1,370",CD,Under Review ,580 FRONT ST,M5V,128616,,
414,2018,"1,370",CD,Under Review ,580 FRONT ST,M5V,128618,,
675,2013,"1,138",CD,Closed,60 JOHN ST,M9N,128630,Weston,948
395,2017,"1,308",CD,Draft Plan Approved,604 RICHMOND ST,M5V,128697,,
394,2017,"1,308",CD,Draft Plan Approved,608 RICHMOND ST,M5V,128700,,
390,2017,"1,308",CD,Draft Plan Approved,610 RICHMOND ST,M5V,128703,,
355,2013,"1,138",CD,Closed,11 CHARLOTTE ST,M5V,128741,,
391,2017,"1,308",CD,Draft Plan Approved,612 RICHMOND ST,M5V,128776,,
353,2013,"1,138",CD,Closed,299 ADELAIDE ST,M5V,128875,,
352,2013,"1,138",CD,Closed,295 ADELAIDE ST,M5V,128879,,
408,2018,"1,370",CD,Draft Plan Approved,622 A KING ST,M5V,128968,,
345,2011,"1,073",CD,Closed,650 KING ST,M5V,128974,,
392,2017,"1,308",CD,Under Review ,90 NIAGARA ST,M5V,128980,,
393,2017,"1,308",CD,Draft Plan Approved,618 RICHMOND ST,M5V,129093,,
379,2016,"1,240",CD,Closed,290 ADELAIDE ST,M5V,129104,,
180,2019,,CD,Under Review ,51 AUGUSTA AVE,M5T,129116,,
382,2016,"1,240",CD,Closed,434 ADELAIDE ST,M5V,129151,,
383,2016,"1,240",CD,Closed,438 ADELAIDE ST,M5V,129156,,
828,2019,,CD,Under Review ,215 CHURCH ST,M5B,129170,,
827,2019,,CD,Under Review ,217 CHURCH ST,M5B,129173,,
826,2019,,CD,Under Review ,221 CHURCH ST,M5B,129176,,
822,2019,,CD,Under Review ,223 CHURCH ST,M5B,129179,,
820,2019,,CD,Under Review ,225 CHURCH ST,M5B,129182,,
372,2015,"1,208",CD,Closed,203 RICHMOND ST,M5V,129353,,
384,2016,"1,240",CD,Closed,203 RICHMOND ST,M5V,129354,,
825,2019,,CD,Under Review ,227 CHURCH ST,M5B,129355,,
175,2016,"1,240",CD,Closed,91 AUGUSTA AVE,M5T,129357,,
400,2018,"1,370",CD,Draft Plan Approved,1 ADELAIDE PL,M5V,129402,,
412,2018,"1,370",CD,Draft Plan Approved,505 ADELAIDE ST,M5V,129408,,
413,2018,"1,370",CD,Draft Plan Approved,501 ADELAIDE ST,M5V,129412,,
824,2019,,CD,Under Review ,229 CHURCH ST,M5B,129417,,
823,2019,,CD,Under Review ,117 DUNDAS ST,M5B,129420,,
812,2016,"1,240",CD,Closed,70 SHUTER ST,M5B,129427,,
362,2014,"1,170",CD,Closed,117 PETER ST,M5V,129443,,
363,2014,"1,170",CD,Closed,117 PETER ST,M5V,129444,,
178,2017,"1,308",CD,Final Approval Completed,202 BATHURST ST,M5T,129455,,
341,2017,"1,308",CD,Closed,161 PALMERSTON AVE,M6J,129459,,
450,2017,"1,308",CD,Closed,130 QUEENS QUAY  ,M5A,129468,,
314,2013,"1,138",CD,Closed,170 MARKHAM ST,M6J,129506,,
819,2018,"1,370",CD,Draft Plan Approved,197 YONGE ST,M5B,129523,,
