,Year,Total,APPLICATION_TYPE,STATUS,ADDRESS,Postcode,_id,Neighbourhood,Rent
146,2014,"1,170",CD,Closed,2200 LAKE SHORE BLVD,M8V,115836,New Toronto,879
11,2016,"1,240",CD,Closed,383 SORAUREN AVE,M6R,115942,Roncesvalles,"1,202"
177,2016,"1,240",CD,Closed,120 GEORGE HENRY BLVD,M2J,116046,Henry Farm,"1,396"
54,2015,"1,208",CD,Under Review ,68 LONG BRANCH AVE,M8W,116433,Long Branch,949
53,2015,"1,208",CD,Under Review ,68 LONG BRANCH AVE,M8W,116433,Alderwood,"1,084"
60,2010,"1,048",CD,Closed,650 SHEPPARD AVE,M2K,116615,Bayview Village,"1,325"
34,2010,"1,048",CD,Under Review ,80 BELL ESTATE RD,M1L,116813,Oakridge,"1,123"
0,2011,"1,073",CD,Closed,300 NANTUCKET BLVD,M1P,118630,Dorset Park,891
3,2012,"1,108",CD,Closed,1415 KENNEDY RD,M1P,118636,Dorset Park,958
2,2012,"1,108",CD,Closed,85 NANTUCKET BLVD,M1P,119673,Dorset Park,958
199,2015,"1,208",CD,Closed,10 NELSON ST,M1J,119929,Scarborough Village,"1,064"
200,2016,"1,240",CD,Closed,10 NELSON ST,M1J,119930,Scarborough Village,"1,077"
202,2018,"1,370",CD,Under Review ,02-Jan MEADOWGLEN PL,M1G,120562,Woburn,"1,201"
100,2011,"1,073",CD,Closed,3360 KINGSTON RD,M1M,120578,Cliffcrest,"1,060"
1,2012,"1,108",CD,Closed,1051 ELLESMERE RD,M1P,120584,Dorset Park,958
5,2018,"1,370",CD,Under Review ,228-250 MIDWEST RD,M1P,120587,Dorset Park,"1,067"
4,2016,"1,240",CD,Closed,1680 MIDLAND AVE,M1P,120804,Dorset Park,985
128,2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,West Hill,967
127,2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,Morningside,951
126,2012,"1,108",CD,Closed,4691 KINGSTON RD,M1E,121421,Guildwood,"1,127"
125,2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,West Hill,967
124,2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,Morningside,951
123,2012,"1,108",CD,Closed,4576 KINGSTON RD,M1E,121806,Guildwood,"1,127"
122,2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,West Hill,967
121,2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,Morningside,951
120,2012,"1,108",CD,Closed,4572 KINGSTON RD,M1E,121810,Guildwood,"1,127"
102,2016,"1,240",CD,Closed,3765 ST CLAIR AVE,M1M,121833,Cliffcrest,"1,101"
103,2018,"1,370",CD,Under Review ,2815 KINGSTON RD,M1M,121837,Cliffcrest,"1,238"
16,2018,"1,370",CD,Draft Plan Approved,35 WABASH AVE,M6R,122702,Roncesvalles,"1,186"
99,2018,"1,370",CD,Under Review ,8817-8825 SHEPPARD AVE,M1B,122797,Rouge,"1,162"
