,YEAR,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,APPLICATION_TYPE,STATUS,ADDRESS,Postcode,_id
0,2008,764,927,"1,095","1,293","1,021",CD,Closed,22 A BIRCH AVE,M4V,164795
1,2008,764,927,"1,095","1,293","1,021",CD,Closed,3670 VICTORIA PARK AVE,M2H,166494
2,2008,764,927,"1,095","1,293","1,021",CD,Closed,125 NANTUCKET BLVD,M1P,119676
3,2008,764,927,"1,095","1,293","1,021",CD,Closed,125 NANTUCKET BLVD,M1P,119677
4,2008,764,927,"1,095","1,293","1,021",CD,Closed,22 D BIRCH AVE,M4V,164731
5,2008,764,927,"1,095","1,293","1,021",CD,Closed,35 HAYDEN ST,M4Y,170979
6,2008,764,927,"1,095","1,293","1,021",CD,Closed,170 WICKSTEED AVE,M4G,142682
7,2008,764,927,"1,095","1,293","1,021",CD,Closed,22 C BIRCH AVE,M4V,165377
8,2008,764,927,"1,095","1,293","1,021",CD,Closed,22 B BIRCH AVE,M4V,164732
9,2008,764,927,"1,095","1,293","1,021",CD,Closed,740 EGLINTON AVE,M5N,138838
10,2009,758,926,"1,096","1,299","1,018",CD,Under Review,1973-1991 VICTORIA PARK AVE,M1R,172837
11,2009,758,926,"1,096","1,299","1,018",CD,Under Review,1955 VICTORIA PARK AVE,M1R,120019
12,2009,758,926,"1,096","1,299","1,018",CD,Closed,53 HIGH PARK BLVD,M6R,122955
13,2009,758,926,"1,096","1,299","1,018",CD,Draft Plan Approved,6 DALE AVE,M4W,134127
14,2009,758,926,"1,096","1,299","1,018",CD,Closed,28 ST THOMAS ST,   ,172278
15,2009,758,926,"1,096","1,299","1,018",CD,Closed,1670 BAYVIEW AVE,M4G,172351
16,2009,758,926,"1,096","1,299","1,018",CD,Closed,101 BLOOR ST,   ,117546
17,2009,758,926,"1,096","1,299","1,018",CD,Closed,2 B MINTO ST,M4L,116534
18,2009,758,926,"1,096","1,299","1,018",CD,Closed,222 CHRISTIE ST,M6G,128340
19,2010,777,949,"1,123","1,329","1,048",CD,Closed,56 LIPPINCOTT ST,M5T,130148
20,2010,777,949,"1,123","1,329","1,048",CD,Closed,1386 GERRARD ST,M4L,131955
21,2010,777,949,"1,123","1,329","1,048",CD,Under Review ,80 BELL ESTATE RD,M1L,116813
22,2010,777,949,"1,123","1,329","1,048",CD,Closed,20 MARINA AVE,M8W,165433
23,2010,777,949,"1,123","1,329","1,048",CD,Closed,5101 DUNDAS ST,   ,117072
24,2010,777,949,"1,123","1,329","1,048",CD,Closed,3720 MIDLAND AVE,M1V,117100
25,2010,777,949,"1,123","1,329","1,048",CD,Draft Plan Approved,2 ANNDALE DR,M2N,148944
26,2010,777,949,"1,123","1,329","1,048",CD,Closed,0 SINGER CRT,M2K,167180
27,2010,777,949,"1,123","1,329","1,048",CD,Closed,6630 FINCH AVE,   ,157465
28,2010,777,949,"1,123","1,329","1,048",CD,Closed,190 SILVER STAR BLVD,   ,117847
29,2010,777,949,"1,123","1,329","1,048",CD,Closed,1636 DUNDAS ST,M6K,155921
30,2010,777,949,"1,123","1,329","1,048",CD,Closed,2958 BAYVIEW AVE,M2N,151404
31,2010,777,949,"1,123","1,329","1,048",CD,Closed,2956 BAYVIEW AVE,M2N,151406
32,2010,777,949,"1,123","1,329","1,048",CD,Closed,2954 BAYVIEW AVE,M2N,151469
33,2010,777,949,"1,123","1,329","1,048",CD,Closed,2952 BAYVIEW AVE,M2N,151766
34,2010,777,949,"1,123","1,329","1,048",CD,Closed,5101 DUNDAS ST,M9A,164455
35,2010,777,949,"1,123","1,329","1,048",CD,Closed,620 DUNDAS ST,   ,166425
36,2010,777,949,"1,123","1,329","1,048",CD,Closed,620 DUNDAS ST,   ,166320
37,2010,777,949,"1,123","1,329","1,048",CD,Closed,1717 AVENUE RD,M5M,164819
38,2010,777,949,"1,123","1,329","1,048",CD,Under Review ,4759-4789 YONGE ST,M2N,171898
39,2010,777,949,"1,123","1,329","1,048",CD,Closed,295 VILLAGE GREEN SQ,   ,166775
40,2010,777,949,"1,123","1,329","1,048",CD,Closed,650 SHEPPARD AVE,M2K,116615
41,2010,777,949,"1,123","1,329","1,048",CD,Closed,1772-1778 ALBION RD,M9V,158338
42,2010,777,949,"1,123","1,329","1,048",CD,Closed,7 OAK ST,   ,167464
43,2010,777,949,"1,123","1,329","1,048",CD,Under Review ,5 SHEPPARD AVE,   ,159156
44,2010,777,949,"1,123","1,329","1,048",CD,Closed,2277-2295 SHEPPARD AVE,M9M,145142
45,2010,777,949,"1,123","1,329","1,048",CD,Closed,18 LOWER JARVIS ST,M5E,158903
46,2010,777,949,"1,123","1,329","1,048",CD,Closed,50 R RYERSON AVE,M5T,159464
47,2010,777,949,"1,123","1,329","1,048",CD,Closed,1770 ALBION RD,M9V,158341
48,2010,777,949,"1,123","1,329","1,048",CD,Closed,38 ABELL ST,   ,167373
49,2010,777,949,"1,123","1,329","1,048",CD,Closed,8 HIGHBOURNE RD,M5P,172930
50,2010,777,949,"1,123","1,329","1,048",CD,Closed,152 ANNETTE ST,   ,123994
51,2010,777,949,"1,123","1,329","1,048",CD,Closed,676 SHEPPARD AVE,M2K,170530
52,2010,777,949,"1,123","1,329","1,048",CD,Closed,150 SUDBURY ST,M6J,160575
53,2010,777,949,"1,123","1,329","1,048",CD,Closed,20 FOUNDRY AVE,   ,116523
54,2010,777,949,"1,123","1,329","1,048",CD,Closed,570 WELLINGTON ST,M5V,170688
55,2011,819,977,"1,148","1,356","1,073",CD,Closed,151 VILLAGE GREEN SQ,   ,166774
56,2011,819,977,"1,148","1,356","1,073",CD,Closed,38 TIDESWELL BLVD,M1B,123714
57,2011,819,977,"1,148","1,356","1,073",CD,Closed,650 KING ST,M5V,128974
58,2011,819,977,"1,148","1,356","1,073",CD,Closed,5 HANNA AVE,   ,170352
59,2011,819,977,"1,148","1,356","1,073",CD,Closed,1060 SHEPPARD AVE,   ,159062
60,2011,819,977,"1,148","1,356","1,073",CD,Closed,1480 QUEEN ST,M6K,122835
61,2011,819,977,"1,148","1,356","1,073",CD,Closed,177 FINCH AVE,M2N,163800
62,2011,819,977,"1,148","1,356","1,073",CD,Closed,181 VILLAGE GREEN SQ,   ,166776
63,2011,819,977,"1,148","1,356","1,073",CD,Closed,207 BEVERLEY ST,M5T,130395
64,2011,819,977,"1,148","1,356","1,073",CD,Closed,484 LYTTON BLVD,M5N,156237
65,2011,819,977,"1,148","1,356","1,073",CD,Closed,390 CHERRY ST,M5A,156394
66,2011,819,977,"1,148","1,356","1,073",CD,Closed,2761 MARKHAM RD,M1X,166952
67,2011,819,977,"1,148","1,356","1,073",CD,Closed,2 OSSINGTON AVE,M6J,124664
68,2011,819,977,"1,148","1,356","1,073",CD,Closed,200 ANNETTE ST,M6P,121132
69,2011,819,977,"1,148","1,356","1,073",CD,Closed,300 NANTUCKET BLVD,M1P,118630
70,2011,819,977,"1,148","1,356","1,073",CD,Closed,840 COXWELL AVE,M4C,171115
71,2011,819,977,"1,148","1,356","1,073",CD,Closed,3360 KINGSTON RD,M1M,120578
72,2011,819,977,"1,148","1,356","1,073",CD,Closed,25 STAFFORD ST,M5V,125087
73,2011,819,977,"1,148","1,356","1,073",CD,Closed,330 KING ST,   ,171211
74,2011,819,977,"1,148","1,356","1,073",CD,Closed,3360 KINGSTON RD,M1M,157365
75,2011,819,977,"1,148","1,356","1,073",CD,Closed,1214 ROYAL YORK RD,M9A,163875
76,2011,819,977,"1,148","1,356","1,073",CD,Closed,250 MANNING AVE,M6J,164256
