Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +
2018,Agincourt/Malvern,"1,341",**,"1,105","1,316","1,569"
2018,Ajax/Pickering,"1,283",**,953,"1,248","1,397"
2018,Alderwood,"1,435",**,"1,169","1,462",**
2018,Aurora,"1,298",**,"1,127","1,347",**
2018,Banbury-Don Mills/York Mills,"1,286",**,"1,163","1,335","1,643"
2018,Bathurst Manor,"1,342",**,"1,216","1,346","1,567"
2018,Bay Street Corridor,"2,301","1,615","2,013","3,114",**
2018,Bayview Village,"1,666","1,072","1,381","1,671",**
2018,Bayview Woods-Steeles/Hillcrest Village,"1,580",**,"1,389","1,609","1,690"
2018,Bedford Park-Nortown,"1,277",947,"1,125","1,459","1,912"
2018,Beechborough-Greenbrook,"1,081",875,"1,022","1,137",**
2018,Bendale,"1,217","1,032","1,070","1,173","1,362"
2018,Birchcliffe-Cliffside,"1,301",943,"1,193","1,424",**
2018,Black Creek,"1,284","1,108","1,145","1,293","1,449"
2018,Bradford/West Gwillimbury/New Tecumseth,"1,127",951,977,"1,181","1,436"
2018,Brampton (East),"1,359",893,"1,240","1,398","1,498"
2018,Brampton (West),"1,244",818,"1,111","1,279","1,577"
2018,Briar Hill-Belgravia,"1,238",864,"1,138","1,367",**
2018,Broadview North,"1,243",993,"1,205","1,424","1,714"
2018,Bronte,"1,503",**,"1,356","1,580","1,832"
2018,Brookhaven-Amesbury,"1,207",870,"1,062","1,271","1,515"
2018,Cabbagetown-South St. James Town,"1,419",995,"1,397","1,885",**
2018,Caledon,**,**,**,**,**
2018,Caledonia-Fairbank,"1,197",882,"1,071","1,389",**
2018,Casa Loma,"1,838","1,181","1,486","2,096","3,284"
2018,Churchill Meadows/Erin Mills,"1,451",887,"1,121","1,285","1,774"
2018,Church-Yonge Corridor,"1,617","1,280","1,597","2,086",**
2018,Clairlea-Birchmount,"1,144",955,"1,056","1,284","1,517"
2018,Clanton Park,"1,172",867,"1,080","1,296",**
2018,Clarkson/Lorne Park,"1,275",980,"1,212","1,304","1,369"
2018,Cliffcrest,"1,238",**,"1,160","1,265","1,424"
2018,Cooksville,"1,329",869,"1,225","1,414","1,611"
2018,Crescent Town,"1,179",878,"1,096","1,341","1,558"
2018,Danforth Village-East York,"1,126",805,"1,080","1,248",**
2018,Don Valley Village/Pleasant View,"1,392",988,"1,219","1,384","1,590"
2018,Dorset Park,"1,131",889,"1,015","1,139","1,367"
2018,Dovercourt/Davenport/Junction,"1,196",**,"1,024","1,312",**
2018,Downsview,"1,212",876,"1,079","1,266","1,459"
2018,Dufferin Grove/Little Portugal,"1,192",888,"1,239",**,**
2018,East End-Danforth,"1,553",988,"1,503","1,738",**
