,Year,Neighbourhood,Total,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Postcode,APPLICATION_TYPE,STATUS,ADDRESS,_id
0,2018,Alderwood,"1,435",**,"1,169","1,462",**,M8W,CD,Under Review ,68 DAISY AVE,165711
1,2018,Long Branch,"1,041",728,972,"1,153",**,M8W,CD,Under Review ,68 DAISY AVE,165711
2,2016,Alderwood,"1,245",**,"1,036","1,264",**,M8W,CD,Closed,636 EVANS AVE,162284
3,2016,Long Branch,945,747,916,"1,016",**,M8W,CD,Closed,636 EVANS AVE,162284
4,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Closed,3600 LAKE SHORE BLVD,158302
5,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Closed,3600 LAKE SHORE BLVD,158301
6,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Closed,3560 LAKE SHORE BLVD,157900
7,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Closed,3560 LAKE SHORE BLVD,157899
8,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Under Review ,28 MARINA AVE,165247
9,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Under Review ,62 LONG BRANCH AVE,173315
10,2015,Alderwood,"1,084",**,916,"1,124",**,M8W,CD,Under Review ,68 LONG BRANCH AVE,116433
11,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Closed,3600 LAKE SHORE BLVD,158302
12,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Closed,3600 LAKE SHORE BLVD,158301
13,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Closed,3560 LAKE SHORE BLVD,157900
14,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Closed,3560 LAKE SHORE BLVD,157899
15,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Under Review ,28 MARINA AVE,165247
16,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Under Review ,62 LONG BRANCH AVE,173315
17,2015,Long Branch,949,689,890,"1,034",**,M8W,CD,Under Review ,68 LONG BRANCH AVE,116433
18,2012,Alderwood,"1,133",**,938,"1,155",**,M8W,CD,Closed,3563 LAKE SHORE BLVD,165426
19,2012,Alderwood,"1,133",**,938,"1,155",**,M8W,CD,Closed,3567 LAKE SHORE BLVD,173038
20,2012,Long Branch,831,620,779,910,**,M8W,CD,Closed,3563 LAKE SHORE BLVD,165426
21,2012,Long Branch,831,620,779,910,**,M8W,CD,Closed,3567 LAKE SHORE BLVD,173038
22,2010,Alderwood,**,**,**,**,**,M8W,CD,Closed,20 MARINA AVE,165433
23,2010,Long Branch,831,672,767,867,**,M8W,CD,Closed,20 MARINA AVE,165433
24,2018,Bathurst Manor,"1,342",**,"1,216","1,346","1,567",M3H,CD,Draft Plan Approved,747 SHEPPARD AVE,145205
25,2013,Bathurst Manor,"1,181",732,"1,035","1,211","1,401",M3H,CD,Closed,545 WILSON AVE,144183
26,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,525 WILSON AVE,144521
27,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,701 SHEPPARD AVE,143952
28,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,758 SHEPPARD AVE,164693
29,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,760 SHEPPARD AVE,146095
30,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,764 SHEPPARD AVE,146098
31,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,724 SHEPPARD AVE,146685
32,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,760 SHEPPARD AVE,155583
33,2012,Bathurst Manor,"1,111",**,990,"1,126","1,282",M3H,CD,Closed,758 SHEPPARD AVE,164646
34,2018,Bayview Village,"1,666","1,072","1,381","1,671",**,M2K,CD,Draft Plan Approved,591 SHEPPARD AVE,152795
35,2017,Bayview Village,"1,539",**,"1,370","1,614",**,M2K,CD,Closed,577 SHEPPARD AVE,154007
36,2016,Bayview Village,"1,499",**,"1,325","1,571",**,M2K,CD,Closed,780 SHEPPARD AVE,155897
37,2014,Bayview Village,"1,330",**,"1,176","1,413",**,M2K,CD,Draft Plan Approved,1181 SHEPPARD AVE,151812
38,2014,Bayview Village,"1,330",**,"1,176","1,413",**,M2K,CD,Draft Plan Approved,1001-1019 SHEPPARD AVE,160158
39,2013,Bayview Village,"1,449",**,"1,200","1,448",**,M2K,CD,Draft Plan Approved,18 REAN DR,155330
40,2011,Bayview Village,"1,381",**,"1,147","1,380",**,M2K,CD,Closed,17 KENASTON GDNS,152107
41,2010,Bayview Village,"1,328",**,"1,109","1,347",**,M2K,CD,Closed,0 SINGER CRT,167180
42,2010,Bayview Village,"1,328",**,"1,109","1,347",**,M2K,CD,Closed,650 SHEPPARD AVE,116615
